Front,Back,vocab?,deckName,noteId,modelName,tags,Audio,Description,English Audio,Image,Image to Thai name card,Literal,Mnemonic,Notes,Phrase No.,Picture,Region,Thai Audio,Thai audio,rank
เริ่ม,to begin / to start,TRUE,Thai::vocab,1504119762404,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t240a13.mp3],,,,,,,,,,,,,
เสร็จ,to end / to finish (an action),TRUE,Thai::vocab,1504119762405,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t240a14.mp3],,,,,,,,,,,,,
เรื่อง,subject / matter / to be about / pertaining to,TRUE,Thai::vocab,1504119762406,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t240a15.mp3],,,,,,,,,,,,,
กำลัง,-ing (adverb indicating present tense),TRUE,Thai::vocab,1504119762407,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t241a1.mp3],,,,,,,,,,,,,
เลย,"(adverb adding emphasis or indicating a command)<br><br>“so much, completely, totally” in a positive sense, or “not at all, not even a little bit” in the negative sense.",TRUE,Thai::vocab,1504119762408,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t241a2.mp3],,,,,,,,,,,,,
ได้,1. can; be able to<br><br>2. [to] get; receive; obtain<br><br>3. got to; did; get to,TRUE,Thai::vocab,1504119762409,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t241a3.mp3],,,,,,,,,,,,,
เอง,myself / yourself / theirselves,TRUE,Thai::vocab,1504119762411,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t241a4.mp3],,,,,,,,,,,,,
ต้อง,must / have to,TRUE,Thai::vocab,1504119762412,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t241a5.mp3],,,,,,,,,,,,,
ควร,should,TRUE,Thai::vocab,1504119762413,~Pocket Thai Vocab,leech ~Pocket-Thai-vocab,[sound:t241a6.mp3],,,,,,,,,,,,,
เคย,(have) ever,TRUE,Thai::vocab,1504119762414,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t241a7.mp3],,,,,,,,,,,,,
อยาก (V),want to,TRUE,Thai::vocab,1504119762415,~Pocket Thai Vocab,leech ~Pocket-Thai-vocab,[sound:t241a8.mp3],,,,,,,,,,,,,
ยัง,yet,TRUE,Thai::vocab,1504119762416,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t241a9.mp3],,,,,,,,,,,,,
อย่า,don’t,TRUE,Thai::vocab,1504119762417,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t241a10.mp3],,,,,,,,,,,,,
หรือยัง,have you ____ yet?,TRUE,Thai::vocab,1504119762418,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t241a11.mp3],,,,,,,,,,,,,
อาจจะ,maybe / might / possibly,TRUE,Thai::vocab,1504119762419,~Pocket Thai Vocab,~Pocket-Thai-vocab,[sound:t241a12.mp3],,,,,,,,,,,,,
ก่อน,before,TRUE,Thai::vocab,1504119762420,~Pocket Thai Vocab,leech ~Pocket-Thai-vocab,[sound:t241a13.mp3],,,,,,,,,,,,,
