Cleaned Text,Note Count,Models Involved,Note IDs
คน,3,"Basic (+Audio) & reversed, Basic (and reversed card), ~Pocket Thai Vocab","1399818767997, 1504119762224, 1772297073131"
พิเศษ,3,"Basic (+Audio), Basic (and reversed card), Basic reversed (+Audio)","1399818768331, 1660306217638, 1685174097927"
ข้าว,3,"Basic (and reversed card), Thai Food, ~Pocket Thai Vocab","1399818768346, 1504119762097, 1684951241176"
ลำบาก,3,"Basic (+Audio), Basic (and reversed card), Basic reversed (+Audio)","1399818769213, 1685172054607, 1748407529420"
กล้วย,3,"Basic (and reversed card), Thai Food, ~Pocket Thai Vocab","1399818770708, 1504119762444, 1684951241114"
แช่,3,"Basic (+Audio), Basic (+Audio) & reversed, Basic (and reversed card)","1399818770772, 1663393967955, 1772297073132"
งา,3,"Basic (+Audio), Basic (and reversed card), Thai Food","1399818770787, 1661068463576, 1684951240916"
มะพร้าว,3,"Basic (and reversed card), Thai Food, ~Pocket Thai Vocab","1399818770824, 1504119762451, 1684951241148"
เด็ด,3,"Basic (+Audio), Basic (+Audio) & reversed, Basic (and reversed card)","1399818770955, 1673329164273, 1772297073126"
ก๋วยเตี๋ยว,3,"Basic (and reversed card), Thai Food, ~Pocket Thai Vocab","1399818771295, 1504119762480, 1684951241184"
ข้าวเหนียว,3,"Basic (and reversed card), Thai Food, ~Pocket Thai Vocab","1399818771632, 1504119762438, 1647718966386"
ที่,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818767972, 1504119762260"
ได้,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818767973, 1504119762409"
จะ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818767974, 1504119762128"
ว่า,2,"Basic (+Audio), Basic (and reversed card)","1399818767976, 1740132032793"
เป็น,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818767977, 1504119762164"
มี,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818767978, 1504119762216"
ให้,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818767979, 1504119762392"
ต้อง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818767980, 1504119762412"
ของ,2,"Basic (+Audio), Basic (and reversed card)","1399818767981, 1668236395184"
กับ,2,"Basic (+Audio), Basic (and reversed card)","1399818767982, 1661921825658"
และ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818767984, 1504119762289"
ใน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818767985, 1504119762263"
กัน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818767986, 1504119762597"
ขึ้น,2,"Basic (+Audio), Basic (and reversed card)","1399818767987, 1723796559133"
ด้วย,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818767988, 1504119762134"
จาก,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818767989, 1504119762272"
ไป,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818767991, 1504119762100"
มา,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818767992, 1504119762101"
ถึง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818767993, 1504119762399"
กว่า,2,"Basic (+Audio), Basic (and reversed card)","1399818767994, 1710997291467"
ทั้ง,2,"Basic (+Audio), Basic (and reversed card)","1399818767995, 1748407295587"
แต่,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818767998, 1504119762291"
อยู่,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818767999, 1504119762259"
ก็,2,"Basic (+Audio), Basic (and reversed card)","1399818768000, 1673763727074"
